activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,2097726,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2)N(CCCN(C)C(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL257288,,CHEMBL257288,6.60,0,http://www.openphacts.org/units/Nanomolar,697802,=,1,1,=,,IC50,nM,,250.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.25
,2097733,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)OC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CCc2ccccc2)c1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL402197,,CHEMBL402197,6.27,0,http://www.openphacts.org/units/Nanomolar,697793,=,1,1,=,,IC50,nM,,540.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.54
,2097736,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)OC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CCNC(=O)OCc2ccccc2)c1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL272127,,CHEMBL272127,6.38,0,http://www.openphacts.org/units/Nanomolar,697795,=,1,1,=,,IC50,nM,,420.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.42
,2097737,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)OC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CN(C)C(=O)OCc2ccccc2)c1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL272128,,CHEMBL272128,6.62,0,http://www.openphacts.org/units/Nanomolar,697794,=,1,1,=,,IC50,nM,,240.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.24
,2097749,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(CC(=O)Nc1cccc(S(=O)(=O)N(Cc2ccccc2)c2cccc(Cl)c2)c1)C(=O)OCc1ccccc1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL403689,,CHEMBL403689,6.96,0,http://www.openphacts.org/units/Nanomolar,697800,=,1,1,=,,IC50,nM,,110.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.11
,2097750,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CN(C)C(=O)OCc2ccccc2)c1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL404329,,CHEMBL404329,5.77,0,http://www.openphacts.org/units/Nanomolar,697799,=,1,1,=,,IC50,nM,,1700.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,1.7
,2097751,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)CCCN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CN(C)C(=O)OCc2ccccc2)c1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL269980,,CHEMBL269980,6.75,0,http://www.openphacts.org/units/Nanomolar,697798,=,1,1,=,,IC50,nM,,180.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.18
,2097755,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL45816,MIBEFRADIL,CHEMBL45816,6.89,1,http://www.openphacts.org/units/Nanomolar,697805,=,1,1,=,,IC50,nM,,130.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.13
,2097756,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2)N(CCCN(C)C(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL257288,,CHEMBL257288,6.19,0,http://www.openphacts.org/units/Nanomolar,697804,=,1,1,=,,IC50,nM,,650.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.65
,2097757,[],CHEMBL947231,Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2)N(CCCN(C)C(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1,,,CHEMBL1143108,Bioorg Med Chem Lett,2008.0,,CHEMBL257288,,CHEMBL257288,6.75,0,http://www.openphacts.org/units/Nanomolar,697803,=,1,1,=,,IC50,nM,,180.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,uM,UO_0000065,,0.18
