molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,PIC50
CHEMBL257288,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2)N(CCCN(C)C(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1,active,576.0930000000003,6.586500000000008,1.0,5.0,6.6020599913279625
CHEMBL402197,CC(C)OC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CCc2ccccc2)c1,active,515.0310000000003,5.058200000000005,1.0,5.0,6.267606240177032
CHEMBL272127,CC(C)OC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CCNC(=O)OCc2ccccc2)c1,active,588.0820000000004,4.741900000000004,2.0,7.0,6.376750709602099
CHEMBL272128,CC(C)OC(=O)CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CN(C)C(=O)OCc2ccccc2)c1,active,588.0820000000004,4.694000000000004,1.0,7.0,6.619788758288394
CHEMBL403689,CN(CC(=O)Nc1cccc(S(=O)(=O)N(Cc2ccccc2)c2cccc(Cl)c2)c1)C(=O)OCc1ccccc1,active,578.0900000000003,5.942600000000005,1.0,5.0,6.958607314841775
CHEMBL269980,CC(C)CCCN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(NC(=O)CN(C)C(=O)OCc2ccccc2)c1,active,572.1270000000004,6.1786000000000065,1.0,5.0,6.7447274948966935
CHEMBL45816,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,active,495.6390000000002,5.270900000000005,1.0,5.0,6.886056647693163
CHEMBL257288,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2)N(CCCN(C)C(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1,active,576.0930000000003,6.586500000000008,1.0,5.0,6.187086643357144
CHEMBL257288,CC1=C(C(=O)OC(C)C)C(c2cccc(Cl)c2)N(CCCN(C)C(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1,active,576.0930000000003,6.586500000000008,1.0,5.0,6.7447274948966935
CHEMBL1210027,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,active,450.02300000000014,4.484600000000004,1.0,4.0,6.982966660701219
CHEMBL1210080,CC(C)N1CC2(CCN(C(=O)Nc3ccc(F)c(F)c3)CC2)C1c1ccc(Cl)cc1,active,433.9300000000002,5.697600000000006,1.0,2.0,6.7594507517174005
CHEMBL1210081,CC(C)N1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,active,433.9300000000002,5.697600000000006,1.0,2.0,6.860120913598763
CHEMBL1210027,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,active,450.02300000000014,4.484600000000004,1.0,4.0,6.939302159646388
CHEMBL1210027,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,active,450.02300000000014,4.484600000000004,1.0,4.0,6.134896025358872
CHEMBL1210902,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,active,547.9150000000001,6.283000000000003,1.0,4.0,7.508638306165727
CHEMBL1210902,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,active,547.9150000000001,6.283000000000003,1.0,4.0,7.5376020021010435
CHEMBL1210901,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(Cl)cc3[nH]1)CC2,active,514.3630000000003,5.917600000000003,1.0,4.0,7.221848749616356
CHEMBL1210900,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3ccc(Cl)cc3[nH]1)CC2,active,496.37300000000033,5.778500000000004,1.0,4.0,7.107905397309519
CHEMBL1210899,O=C1N(c2cccc(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,active,529.9250000000001,6.143900000000003,1.0,4.0,7.356547323513812
CHEMBL1210835,O=C(Nc1cc(F)cc(F)c1)N1CCC2(CC1)C(=O)N(c1cncc(Cl)c1)C2c1ccccn1,active,483.90600000000006,4.810400000000004,1.0,4.0,6.284832642151542
CHEMBL1209968,N#Cc1cccc(N2C(=O)C3(CCN(C(=O)Nc4cc(F)cc(F)c4)CC3)C2c2ccccn2)c1,active,473.4830000000001,4.633680000000004,1.0,4.0,6.135488918941608
CHEMBL1209968,N#Cc1cccc(N2C(=O)C3(CCN(C(=O)Nc4cc(F)cc(F)c4)CC3)C2c2ccccn2)c1,active,473.4830000000001,4.633680000000004,1.0,4.0,6.607303046740334
CHEMBL1210767,O=C(Nc1ccc(F)c(F)c1)N1CCC2(CC1)C(=O)N(c1cccc(Cl)c1)C2c1cccc[n+]1[O-],active,498.91700000000014,4.653800000000005,1.0,3.0,6.156144577376839
CHEMBL1210027,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,active,450.02300000000014,4.484600000000004,1.0,4.0,6.910094888560602
CHEMBL1210080,CC(C)N1CC2(CCN(C(=O)Nc3ccc(F)c(F)c3)CC2)C1c1ccc(Cl)cc1,active,433.9300000000002,5.697600000000006,1.0,2.0,6.468521082957745
CHEMBL1210081,CC(C)N1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,active,433.9300000000002,5.697600000000006,1.0,2.0,6.484126156288321
CHEMBL1210027,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,active,450.02300000000014,4.484600000000004,1.0,4.0,6.906578314837765
CHEMBL1210899,O=C1N(c2cccc(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,active,529.9250000000001,6.143900000000003,1.0,4.0,7.200659450546418
CHEMBL1210900,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3ccc(Cl)cc3[nH]1)CC2,active,496.37300000000033,5.778500000000004,1.0,4.0,7.1487416512809245
CHEMBL1210901,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(Cl)cc3[nH]1)CC2,active,514.3630000000003,5.917600000000003,1.0,4.0,7.075720713938118
CHEMBL1210902,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,active,547.9150000000001,6.283000000000003,1.0,4.0,6.97469413473523
CHEMBL1210136,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C)C2c1ccc(Cl)cc1)C(=O)OC,active,421.96900000000005,3.706000000000003,1.0,4.0,6.3872161432802645
CHEMBL1210137,CN1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,active,405.8760000000001,4.919000000000004,1.0,2.0,6.669586226650809
CHEMBL1210138,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(C)C2c1ccc(Cl)cc1)C(=O)OC,active,435.9520000000001,3.2326000000000015,1.0,4.0,6.096910013008056
CHEMBL1210139,CN1C(=O)C2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,active,419.85900000000015,4.445600000000003,1.0,2.0,6.036212172654444
CHEMBL1210140,CC(C)CN1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,active,447.9570000000001,5.945200000000006,1.0,2.0,6.752026733638194
